Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating,Synopsys
5,2,82,Mother Tucker,James Purdum,Brian Iles,Tom Devanney,"Phil Langone, Niki Hyun Yang","Phyllis Diller, Gore Vidal","Peter Griffin, Thelma Griffin, Tom Tucker","Lois, Meg, Chris, Stewie, Brian, Glenn Quagmire, Cleveland Brown, Karen, Carl, Bill and Tim, Thaddeus Griffin, Weenie and the Butt, Jake Tucker, Darth Vader, Kermit the Frog, Fern Arable, Charlotte, The cast of Peanuts, Amy Grant, Al Michaels, Harold Ramis, Rachel Keller, Kim Cattrall, Andrew McCarthy, Gore Vidal, Ray Romano, Tim McCarver, Greta Van Susteren, Paris Hilton, Nicole Richie, Kristen Bell",Hope & Rape (deleted),"September 17, 2006",4ACX31,9.23,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"While attending the Quahog Airshow, the Griffins lose Stewie. A passing radio worker consults Brian over the prospect of beginning a stint as a radio host, after hearing him call for Stewie over the loud-speaker. Brian then begins his radio career, but is told to seek the aid of Stewie, after he had made a prank call to Brian while he was on the air, much to his annoyance. Meanwhile, Thelma Griffin, Peter's mother, visits the household, telling Peter she has split up with his father, Francis Griffin, to Peter's dismay. She begins a sexual relationship with local news anchorman Tom Tucker, but the couple break up just as Peter is beginning to adapt to having a new father. Brian later resigns from his radio career for unspecified reasons after Gore Vidal walks into one of his shows."
5,3,83,Hell Comes to Quahog,Dan Povenmire,Chris Robertson,Kirker Butler,"Young Lee, Perry Zombolas",None,"Peter Griffin, Meg Griffin","Lois, Brian, Stewie, Chris, Cleveland Brown, Joe Swanson, Glenn Quagmire, Paddy Tanniger, Herbert, Jesse, Mort Goldman, Jim Kaplan, Tom Tucker, Diane Simmons, Ollie Williams, Angela, Opie, Mr. Penisberg, Tim, Joanie, Sloth, Yogi Bear, Boo-Boo Bear, Iceman, Mr. Moose, Alex, Gloria, Parker Fennelly, The cast of The Electric Company, Tom Brokaw, Jennifer Love Hewitt, Bill Pullman, Jeff Daniels, Richard Gere",Red Dawn: The Musical,"September 24, 2006",4ACX33,9.66,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"After Peter fails to pick up Meg from the skating rink, she demands that Peter and Lois allow her to buy a car. Despite Meg showing an interest in a station wagon, Peter uses her money to buy a military tank. After he repeatedly uses it to destroy objects in the neighborhood, Joe Swanson impounds it. Meanwhile, a new shop is being built, Superstore USA. When it opens, Quahog begins to suffer from frequent power outages, due to the store's increasing demand for electricity. Small businesses in the town also begin to go out of business. After looking for a job, Meg is employed by the store, despite Peter leading protests outside. When Peter is persuaded by the store to become an employee, Brian decides to destroy the store. He obtains the tank and, alongside Stewie, destroys the store from the inside out, and regular living circumstances are restored to the town."
5,4,84,Saving Private Brian,Cyndi Tang,Greg Lovell,Cherry Chevapravatdumrong,"Won Ki Cho, Rick Del Carmen","Louis Gossett, Jr.","Peter Griffin, Lois Griffin, Chris Griffin, Stewie Griffin, Brian","Meg, Splash Log, Vern and Johnny, Sergeant Extreme, Major Awesome, Herbert, Peggy, Marilyn Manson, Madonna, Mickey Rooney, Minnie Driver, Zinédine Zidane, Muddy Waters, Gregory Peck, George W. Bush, Dr. Katz, Brad Garrett, Ashlee Simpson, Will Smith, Bob Geldof, MC Hammer, Michael Jackson, Mayor Adam West","Evil Monkey Song, Over There, I am Peter Griffin","November 5, 2006",4ACX34,8.45,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"Chris decides he wants to join the United States Army after a presentation by the organization at his school. After telling the family over dinner in the evening, Brian stops at the army recruitment office the following day, when taking Stewie out of the house, but Stewie decides to sign the pair of them up for the army when Brian leaves to top-off the parking meter. Brian becomes stressed with the army training, and later decides he is going to leave, but is persuaded otherwise by Stewie. In an attempt to distract Chris from joining the army, Peter gets Chris a role in a gothic school band, which turns Chris into a rude child. Brian then successfully completes the training with Stewie, and the pair are sent to serve in Iraq, where, upon discovering they do not want to be there, attempt to get themselves dismissed. After this fails, a message comes through telling them that the war is over, and that they are free to go home."
5,5,85,Whistle While Your Wife Works,Greg Colton,Deborah Cone,Steve Callaghan,"Phil Langone, Niki Hyun Yang","Drew Barrymore, Carrie Fisher","Brian, Stewie, Jillian, Peter Griffin, Lois Griffin","Meg, Chris, Opie, Angela, Glenn Quagmire, Cleveland Brown, Joe Swanson, Buzz Killington, Mr. Cohen, Greg, The Lord of Darkness, Danny DeVito, Rhea Perlman","There's a Hole in the Bottom of the Sea, U.G.L.Y., Cars","November 12, 2006",4ACX35,9.04,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.7,"Quagmire returns from a vacation in Florida, smuggling fireworks back in his anus. When playing with the fireworks, Peter ends up holding one of the lit firecrackers, and it explodes, blowing off several of his fingers in the process. His fingers are reattached by hospital staff, but Peter begins to fall behind at work, so he requests that Lois do his work for him, after being threatened with the prospect of dismissal if he does not catch up. Peter attempts on numerous occasions to seduce Lois, resulting in her eventually giving in, and having sex with him in his office. Meanwhile, Brian begins dating Jillian, an attractive, but ""dumb"" young woman; much to the enjoyment of Stewie. Persuaded by Stewie to end the relationship, due to her lack of intelligence, Brian goes to her house, but ends up having sex with her, rather than breaking up."
5,6,86,Prick Up Your Ears,James Purdum,Brian Iles,Cherry Chevapravatdumrong,"Mark Covell, Steve Fonti","Drew Barrymore, Lauren Conrad","Peter Griffin, Lois Griffin, Meg Griffin, Chris Griffin, Stewie Griffin, Brian","Jillian, Mayor Adam West, Paul, Glenn Quagmire, Cleveland Brown, Rodney King, Tooth Fairy, Dr. Hartman, Rupert, Debbie, Matthew, Harry Houdini, Bess Houdini, Mel Gibson, Liam Neeson, Dianne Wiest, Pablo Picasso, Jerry Kirkwood, Doug, Principal Shepherd, Britney Spears, Michael Jackson, Herbert, Kool-Aid Man, Evil Monkey",None,"November 19, 2006",5ACX01,9.3,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"After finding Chris and his friends watching pornography in his bedroom, Lois tells Chris to speak to his sex-education teacher if he is curious about sex, but is shocked to learn that the school does not have one, due to budget constraints. She applies for the role and is accepted, but is quickly fired due to parents protesting outside the school. The school then hires a Reverend to teach the children not to have sex before marriage. In agreement to the Reverend's teaching, the students of James Woods High establish 'ear sex,' much to Lois's chagrin after she catches Meg and her new boyfriend, Doug, engaging in the act. Later, during another assembly presented by the Reverend, Lois takes over the assembly and tells the children that sex is not wrong and is acceptable before marriage if they are ready. The children realize how they have been brainwashed, and agree with Lois. Meg's new boyfriend soon ends his relationship with her, leaving Meg distraught. Meanwhile, Stewie decides to capture the tooth fairy for stealing his baby teeth, after they had fallen out, but is unable to do so."
5,7,87,Chick Cancer,Pete Michels,Perry Zombolas,Alec Sulkin & Wellesley Wild,"Phil Langone, Joseph Lee",Lizzy Caplan,"Peter Griffin, Lois Griffin, Stewie Griffin, Olivia Fuller","Meg, Chris, Brian, Jillian Russell, Rupert, Joe Swanson, Bonnie Swanson, Glenn Quagmire, Cleveland Brown, Luke Skywalker, Mort Goldman, Mayor Adam West, Q*bert, Chester Cheetah, Fouad, Victor, Sassy, Chuck Berry, Sandra Oh, Howard Hesseman, Richard Gere",Tasty Juice,"November 26, 2006",5ACX02,9.49,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"When watching television with Brian, Stewie discovers his old friend, Olivia, a female actress, is coming to Quahog in an attempt to boost her Hollywood career. Stewie insists Brian should take him to the mall to ridicule her when she arrives, but he instantly begins to fall in love with her. At first, she does not feel the same way, but decides to date Stewie when he attempts to act in a more mature manner. The couple get married with Stewie's teddy bear, Rupert, as the minister, but Stewie becomes irritable at Olivia after she flirts with one of her old friends at a party. After walking in on Olivia cheating with the child from the party, he leaves the house in anger and decides to set fire to it, leaving Olivia and her new partner to burn. Meanwhile, Peter decides to make a 'chick flick' after being inspired by a movie Lois had asked him to watch with her."
5,8,88,Barely Legal,Zac Moncrief,Jeff Stewart,Kirker Butler,"Dominic Bianchi, Young Lee",Garrett Morris,"Meg, Brian","Peter, Stewie, Lois, Chris, Jillian, Mayor Adam West, Joe Swanson, Glenn Quagmire, Cleveland Brown, Mort Goldman, Herbert, Opie, Connie DiMico, Tricia Takanawa, Bruce, Garrett Morris, Jimmy, Allison Janney, Michael Douglas, Kathleen Turner, Emperor Palpatine, Darth Vader, Esther, Ruth, Patty, Beth",A Brand New Day/Everybody Rejoice,"December 17, 2006",5ACX03,8.48,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.9,"After Mayor West deploys the entire Quahog Police Department to Cartagena, Colombia, after watching Romancing the Stone, Joe is left behind due to Colombia ""not being accessible for those in wheelchairs."" Peter, Cleveland and Quagmire offer to become police officers after Joe sets up an emergency training school. Meanwhile, after seeing Meg upset at not getting a date for the Junior prom and threatening suicide, Brian offers to take her there, to her agreement. After kissing her while at the prom, Meg begins to fall in love with Brian, despite Brian not feeling the same way. After he tells Lois about kissing Meg at the prom, she repeatedly hits him and tells him to set things straight with her. Brian then decides to tell Meg that they will never be a couple, to which she eventually takes Brian to an undisclosed location and attempts to seduce him after she had tied him to a chair. As she is attempting this, Quahog's new police force, and Lois, stop Meg and Quagmire invites her to his house to have a heart-to-heart talk with her about relationships."
5,9,89,Road to Rupert,Dan Povenmire,Chris Robertson,Patrick Meighan,"Deborah Cone, Won Ki Cho","Rob Lowe, George Wendt","Peter, Stewie, Brian, Meg, Rupert","Lois, Chris, Herbert, Joe, Cleveland, Quagmire, Mayor Adam West, Stanford Cordray, Timmy Cordray, Gene Kelly, Norm Peterson, Woody Boyd, Cliff Clavin, Emmanuel Lewis, Sharon Stone, Pat Robertson, Jerry Falwell, Burt Reynolds, Sally Field, Billy Dee Williams, Chrone, SpongeBob SquarePants, Patrick Star, Frasier Crane, Pebbles Flintstone, Bamm-Bamm Rubble, Dr. McCoy","My Black Son, The Worry Song, Campfire Song Song, Country Road","January 28, 2007",5ACX04,8.8,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.9,"The Griffins have a yard sale, but Brian inadvertently sells Stewie's beloved teddy bear, Rupert, to a neighbor. Distraught at the prospect of losing Rupert, Stewie tracks him down, but when they find the neighbor's house, it is empty. As they leave, they see a moving truck pulling away, and hitch a ride with Mayor West, asking him to follow the truck. West agrees, but stops outside the border to Connecticut, refusing to enter, due to his personal beliefs. As they leave the car, a box falls from the moving truck with the new address on it. After discovering the buyer, Sanford, is moving to Aspen, Colorado, Stewie and Brian rent a helicopter to travel across the mountains. Upon arriving, the two discover Sanford's reluctance to give Stewie the bear, and so they both challenge him to a ski race down the mountain, agreeing that if Stewie wins, he can get Rupert back. After losing the race, Stewie then grabs the bear from Sanford's child; then he and Brian carjack a passing motorist to return to Quahog."
5,10,90,Peter's Two Dads,Cyndi Tang,Greg Lovell,Danny Smith,"Michael Loya, Michael Rundle","Charles Durning, Phyllis Diller","Peter, Brian, Stewie, Meg, Lois, Mickey McFinnigan","Chris, O'Brian, Herbert, Bruce, Francis, Quagmire, Cleveland, Joe, Bonnie, Kevin, Dr. Hartman, Thelma, Beth, Ruth, Robert Loggia, Mother Teresa, Ben Affleck, Sarah Jessica Parker, Matthew McConaughey Yoda, Obi-Wan Kenobi, Hayden Christensen, Patty, Esther","My Drunken Irish Dad, Friends and Lovers, Sixteen Going on Seventeen","February 11, 2007",5ACX05,7.97,TV-MA,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"Lois and Peter forget Meg's upcoming birthday, and have to be reminded about it by Chris. They organize a party in the house, with Peter as a clown. After excessive drinking, Peter attempts to ride a unicycle down the stairs, but falls and lands on his father, Francis, crushing him and later killing him. Upset at his father's death, Peter decides to give up drinking, but quickly replaces it with crack. After being referred to a hypnotherapist by Brian, Peter recalls his father telling him as a child that he is not his biological father. Consulting with his mother afterwards, Peter discovers his father lives in the Republic of Ireland. Peter and Brian decide to travel there to meet him, only to discover Peter's real father is the town drunk. Meanwhile, Stewie discovers he suffers from masochism and enjoys being hit."
5,11,91,The Tan Aquatic with Steve Zissou,Julius Wu,John Banh,Mark Hentemann,"Mark Covell, Steve Fonti",None,"Stewie, Brian, Chris, Peter","Cleveland, Joe, Quagmire, Meg, Lois, Herbert, Kyle, Randy Fulcher, Britney Spears, Mr. Furley, Fran Drescher, Martin Landau, Turn of the Century Take on all Comers Griffin, Terry the Tiger, Devon, Dick Cheney, Kermit the Frog, Swedish Chef, Fozzie Bear","The Lonely Goatherd, Kokomo","February 18, 2007",5ACX06,8.53,TV-14,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"Stewie develops a tan due to Peter's neglect while golfing, much to Lois's annoyance. Stewie is fond of the tan, and begins visiting tanning stores, as well as purchasing a tanning bed for his own bedroom. After asking Brian to wake him up after a short period of time in the tanning bed, Brian falls asleep, and Stewie is severely burnt after being in the bed for more than six hours. After his skin peels, Stewie decides to give up his tan, but discovers a mole on his stomach. Brian immediately takes him to Dr. Hartman so that tests can be performed on the mole. While awaiting the results over several days, Stewie believes he is dying, and asks Brian to assist him in fulfilling a list of final requests. Stewie later learns the mole is not cancerous, and he will survive, but still requests Brian's help in fulfilling his list of final requests. Meanwhile, Chris is bullied by Kyle, a new paper boy who is stealing his customers. Annoyed at Kyle for picking on Chris, Peter beats him up, but discovers bullying is fun, and begins to bully his friends. After preparing to beat up Randy, another child who bullied Peter as a young boy, he is stopped by Chris and is convinced that what he is doing is wrong."
5,12,92,Airport '07,John Holmquist,Rick Del Carmen,Tom Devanney,"Dominic Bianchi, Mark Miraglia",Hugh Hefner,"Peter, Quagmire, Joe, Cleveland","Lois, Brian, Meg, Stewie, Chris, Hugh Hefner, Carl Sagan, Marlee Matlin, Sandy, Herbert, Mayor Adam West, Stink Fleaman, Mike Drunkbeater, Walt Abernathy, Larry, Tom Tucker, Diane Simmons, Nien Nunb, Queen Latifah, Ollie Williams, Paris Hilton","Prom Night Dumpster Baby, Uncensored versions: Hot Diggity (Dog Ziggity Boom), He's Quagmire","March 4, 2007",5ACX08,8.59,TV-14,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.7,"After attending a redneck comedy show, Peter purchases a pickup truck and decides to become a redneck. Peter begins behaving as if he were a redneck, eventually painting over the entire rear window of his pickup, which results in him reversing the car into his neighbor Quagmire's car. After destroying the car, Peter drives Quagmire to the airport, as he is due to fly an airplane. While at the airport, Peter steals the fuel used for Quagmire's airplane, naively believing it will make his pickup fly, resulting in Quagmire's plane crashing safely shortly after, due to a lack of fuel. As a result, Quagmire loses his job and is forced to live with the Griffins until he can find another place to work. Peter claims he is no longer going to be a redneck, although this fails to comfort Quagmire over his loss. The group then sets out to get Quagmire his job back by incapacitating the pilots of another plane, causing it to need to be rescued by Quagmire, making him a town hero. The plan backfires, however, as Quagmire does not get on the plane in time. Quagmire eventually contacts Peter, Cleveland and Joe via air traffic control and instructs Peter on landing the plane safely. The plan succeeded and Quagmire got his job back, even though Peter took responsibility for hijacking accusations."
5,13,93,Bill & Peter's Bogus Journey,Dominic Polcino,Joseph Lee,Steve Callaghan,"Phil Langone, Niki Hyun Yang",Roy Scheider,"Peter, Bill Clinton, Lois","Brian, Meg, Stewie, Chris, Quagmire, Cleveland, Joe Swanson, Mayor Adam West, Barbara Pewterschmidt, Carter Pewterschmidt, Herbert, Jesse, Seamus, Ol' Woody, Roy Scheider Conway Twitty, Phineas & Barnaby, Hungry Hank, Joseph Merrick, The Thing, Alexander Graham Bell, Thomas Watson, Uma Thurman","Steak and Eggs, Barbie Girl","March 11, 2007",5ACX07,8.05,TV-14,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"After being attacked by an octopus at the aquarium, Peter decides to become physically fit, and spends a mere fifteen minutes at the gym, then believing that he is now fit. Later, former U.S. President Bill Clinton's car breaks down outside their house, and Peter, thinking he is strong enough, attempts to lift the car without a jack, which results in him getting a sudden severe hernia and being hospitalized. Depressed at the concept of becoming old, he confides in Clinton, after he visits Peter in the hospital, who tells Peter that age is only a state of mind. When Peter recovers, Bill takes him out to help him realize he can still have fun, but things eventually get out of hand when they start smoking marijuana, then steal things and cause mischief while high. Meanwhile, Stewie and Brian attempt to be toilet trained by buying an instructional video hosted by Roy Scheider (appearing as himself), but Brian persists to leave his feces in the garden, thus making Lois force him to wear a diaper."
5,14,94,No Meals on Wheels,Greg Colton,Deborah Cone,Mike Henry,"Won Ki Cho, Young Baek",Patrick Stewart,"Peter, Joe","Lois, Chris, Meg, Stewie, Quagmire, Cleveland, Dr. Hartman, Brian, Mort Goldman, Herbert, Jim Kaplan, Gerald, Mexican Super Friends, Violet Gray, Pig-Pen, Ben Stiller, Tyra Banks, Liza Minnelli, M.C. Escher, Mark Harmon, Bruce Willis","And Then There's Maude, Going Up the Stairs","March 25, 2007",5ACX09,7.97,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Peter is irritated by Mort, the local pharmacist in Quahog, constantly borrowing his things, so he makes a ""Scare-Jew"" out of his best suit. Frustrated, Lois takes him to a secondhand clothing store to get a new suit, where Peter finds some flannel pajamas. While wearing them, he begins to notice that he can shock people with static electricity by rubbing his feet on the carpet. Annoyed by this, Lois has the carpet completely removed. When this is done, they find an 18th-century Rhode Island ship token, which the family sells for $50,000."
5,15,95,Boys Do Cry,Brian Iles,Dominic Bianchi,Cherry Chevapravatdumrong,"Michael Loya, Michael Rundle","Gilbert Gottfried, Bill Engvall","Lois, Stewie, Peter","Meg, Chris, Brian, Quagmire, Bruce, Mayor Adam West, Herbert, Diane Simmons, RJ, Jesus Christ, Jake Tucker, Tom Tucker, Seamus, Sneakers O'Toole, Super Devil, Chuck Norris, Dick Cheney, George W. Bush, Julia Louis-Dreyfus, Christie Brinkley, The Lynches, Duke Dillon, Dallas Houston, Jillian, S&M cow, Dixie Ann Thomas, Texas Youth Club, Gilbert Gottfried","Sneakers O'Toole, I Know What Boys Like, Great Balls of Fire Uncensored version: Hymn 387","April 29, 2007",5ACX10,8.13,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Lois gets a job as the new organist for the church, which causes her to decide to persuade her family to start attending mass on Sundays. After Stewie mistakes Communion wine for punch, he drinks too much and vomits; the town of Quahog then believes Stewie to be possessed by Satan (since according to Roman Catholic theology the wine is the blood of Christ, and Satan would reject it). When the priest wants to exorcise him, aided by the entire town, the Griffin family escapes to Lois' sister Carol's house in Texas. While there, the family adapts to the Texan lifestyle, and Stewie enters a beauty pageant. Peter also becomes friends with ranchers, and after admitting to them that he is considered ""mentally retarded"", the ranchers attempt to kill him by execution in an electric chair. He is saved however, and the family then returns home to Quahog after the search for Stewie is called to an end."
5,16,96,No Chris Left Behind,Pete Michels,Perry Zombolas,Patrick Meighan,"Mark Covell, Kurt Dumas, Steve Fonti, Spencer Laudiero","Josh Radnor, Neil Patrick Harris","Lois Griffin, Chris Griffin, Peter Griffin","Meg, Stewie, Brian, Josh Radnor, Neil Patrick Harris, Quagmire, Carter Pewterschmidt, Herbert, Ernie the Giant Chicken, Nicole, Mel Gibson, Bruce, Principal Shepherd, Sylvester Stallone, King Friday XIII, Rogers Chapstick, Virgil Mastercard, James Bottomtooth IV, Johann, Thunder, Rocky Balboa, Paulie Pennino",None,"May 6, 2007",5ACX11,7.95,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"Lois takes the family out to the ballet Swan Lake on a late school night. As Chris studies at the breakfast table for an upcoming exam the next morning, Brian notices that Chris' history textbook is hopelessly out of date (published in 1896 in the Adult Swim version of the show, 1948 in the Fox version). Upset by this, Lois goes to a PTA meeting to complain. The high school principal, Principal Shepherd, explains that the school cannot afford new textbooks because the school lost its federal funding due to low test scores, as a result of the ""No Child Left Behind Act."" His solution for raising the school's performance average is to expel the dumbest student, who happens to be Chris."
5,17,97,"It Takes a Village Idiot, and I Married One",Zac Moncrief,Jeff Stewart,Alex Borstein[d],"Phil Langone, Niki Hyun Yang","Keith Olbermann, Donny Most","Lois Griffin, Mayor Adam West","Meg, Peter, Brian, Stewie, Chris, Cleveland, Quagmire, Joe, Tricia Takanawa, Jason Voorhees, Steve, Helen, The Pope, Tom Tucker, Diane Simmons, Evil Monkey, Mort Goldman, Herbert, Principal Shepherd, Dr. Hartman, Jimmy Smits, The Legion of Doom, Angela, Muriel Goldman, Bonnie Swanson, Jake Tucker, Jim Varney, Bob Grossbeard, The Screaming Black Dolphins, Ashley Ferl","Cowboy Butt/Gay Sex, Donny Most, Uncensored version: She'll Be Coming 'Round the Mountain","May 13, 2007",5ACX12,7.21,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"The Griffin family vacations at Quagmire's cabin. While the family goes swimming in Lake Quahog, they discover that a nearby oil refinery is dumping toxic waste into the lake. As the family flees from the lake, they become almost completely hairless. They are ultimately forced to wear wigs until their hair grows back, and once it does, Lois complains to Mayor Adam West, who admits that he sanctioned the dumping in exchange for free oil for his hair. Outraged, Lois decides to run against West in the upcoming mayoral election. Peter and his friends, meanwhile, become strong supporters of Lois' campaign, realizing that they could get away with anything because of their relations to Lois if she becomes mayor. As such, they do everything in their power to gain the town's support so that she can win the race. Lois is then elected, and succumbs to pressure by the toxic dump owner to allow him to resume dumping in the lake. Lois then decides to resign, and West then become mayor again, after agreeing to ""play ball"" with the waste dump owner."
5,18,98,Meet the Quagmires,Dan Povenmire & Chris Robertson,None,Mark Hentemann,"Won Ki Cho, Young Baek",None,"Peter Griffin, Lois Griffin, Glenn Quagmire, Brian","Chris, Meg, Stewie, Joe Swanson, Cleveland Brown, Death, Roger, Horace, George Jetson, Jane Jetson, Elroy Jetson, Judy Jetson, Joe Piscopo, Mike Wallace, Molly Ringwald, Pinhead, Ms. Pac-Man, Blinky, Pinky, Inky, Clyde, Ernie the Giant Chicken, Judd Nelson, Tom Cruise, Anthony Michael Hall, Michael Schoeffling, Andy, Marvin Astley","Never Gonna Give You Up, Earth Angel","May 20, 2007",5ACX13,9.15,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.4,"After hearing Quagmire brag about his sexual exploits, Peter feels that he has missed out on enjoying the single lifestyle. Death is summoned to The Drunken Clam on a false alarm, and he grants Peter's wish by sending him (along with Brian) back to 1984 for one night. Appearing to others as his 18-year-old self, Peter cancels his scheduled movie date to see Zapped! with Lois Pewterschmidt, instead accepting an invitation from Cleveland to go and party at a bar. Peter enjoys the evening, and ends up making out with actress Molly Ringwald, when Death appears to return him to the present. Back in the present day, Peter then discovers that his past actions have had drastic effects on the world; he and Molly have been married for 20 years, Lois is married to Quagmire, Al Gore is president instead of former U.S. President George W. Bush, Chris, Meg, and Stewie have Quagmire's chin, nose, and mannerisms, Dick Cheney, who is just known as the chairman of Halliburton, has just shot dead Antonin Scalia, Karl Rove, and Tucker Carlson, and finally, Chevy Chase is the host of The Tonight Show. Brian explains to Peter that by missing out on his date with Lois and making out with Molly, he altered the time line. At the end of the episode, Peter says ""I'm just glad everything is back to normal"" and then Roger the Alien from American Dad! walks in and says ""Who ate all the pecan sandies?"""
6,1,99,Blue Harvest,Dominic Polcino,Joseph Lee,Alec Sulkin,"Steve Fonti, Phil Langone, Bao Nguyen, Michael Rundle, Joe Vaux","H. Jon Benjamin, Beverly D'Angelo, Chevy Chase, Rush Limbaugh, Helen Reddy, Judd Nelson","Peter Griffin as Himself and Han Solo, Lois Griffin as Herself and Princess Leia, Brian Griffin as Himself and Chewbacca, Stewie Griffin as Himself and Darth Vader, Chris Griffin as Himself and Luke Skywalker, Glenn Quagmire as C-3PO, Cleveland Brown as R2-D2, Herbert as Obi-Wan Kenobi, Mayor Adam West as Grand Moff Tarkin, Carter Pewterschmidt as Uncle Owen Lars, Barbara Pewterschmidt as Aunt Beru Lars, Mort Goldman as Jawa, Opie as a Tusken Raider, Bruce as Greedo, Meg Griffin as Herself and a Dianoga, Joe Swanson as Biggs Darklighter","Jake Tucker, Tom Tucker, Diane Simmons, Ollie Williams, Fouad, Evil Monkey, Al Harrington, Terry, Roger, Watto, Dr. Alan Rumack, Clark Griswold, Magic Johnson, Redd Foxx, Simply Red, Red Buttons, Helen Reddy, Judd Nelson, Phil Mickelson, Amy Mickelson, John Williams, London Symphony Orchestra, Danny Elfman, Tom Baker, Pignose, Scott, Coach McGuirk, Xenomorph, Imperial Stormtroopers",(I've Had) The Time of My Life,"September 23, 2007",5ACX16; 5ACX22,10.86,TV-14,48,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.2,"When the power goes out in the Griffin home, Peter decides to educate his family and pass along the greatest story ever told: the story of Star Wars! After Princess Leia (Lois) comes under siege by Darth Vader (Stewie) and his evil Storm Troopers, C-3PO (Quagmire) and R2-D2 (Cleveland) escape to find the only person who can help the Rebel Alliance. On their quest thorough the desert planet of Tatooine, C-3PO and R-2D2 find extra help in Obi-Wan Kenobi (Herbert), Luke Skywalker (Chris), Han Solo (Peter) and Chewbacca (Brian) and head back to battle the Death Star in an epic intergalactic fight to the death."
6,2,100,Movin' Out (Brian's Song),Cyndi Tang,Greg Lovell,John Viener,"Michael Rundle, Bao Nguyen",Drew Barrymore,"Jillian, Brian, Stewie Griffin","Peter, Lois, Meg, Chris, Mayor Adam West, Joanna, Seamus, Carl, Glenn Quagmire, Marge Simpson, Herbert, Bucky LaGrange, Valerie Bertinelli, Maggie Gyllenhaal, Jake Gyllenhaal, Stephen Gyllenhaal, Jinx, Sico",None,"September 30, 2007",5ACX14,7.95,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"When Peter convinces Brian to get an apartment with his dense girlfriend Jillian, he is angry at first but soon becomes happy living with her, only to realize he needs to pay the rent, so he allows Stewie to move in with them so he can help pay. But his place in the apartment interferes with their happiness, and a bitter argument results in Brian and Jillian officially breaking up. Meanwhile, Meg gets a job at the local convenience store, as does Chris, who gets chummy with the manager Carl and is given a large promotion originally promised to Meg. She eventually stands up for herself, resulting in her termination, and Lois convinces Chris to help his sister get her job back."
