RPTID	OPID	NAME	INTER	IDATE	DTHH	ACSTATE	ACCOUNTY	ACCITY	OFFSHORE	COOR	IFED	SPLOC	CSYS	ORGLK	ORGLO	ITMYR	CAUS	CAUSO	TFAT	EFAT	NFAT	TINJ	EINJ	NINJ	PRPTY	COMM	COMID	CLASS	LOSS	RECOV	FIRE	EXP	NMDIA	THK	SMYS	JNT	GRND	DSPRS	ACPRS	PRTST	DUR	MXPRS	TSTMM	TSTYY	CORLC	FACTD	FACAT	CORR	CORRO	CAULK	CAULO	PREVT	ONECL	ONEOT	EXCAL	TMPMK	RNAME	PHONE	TELRN	TELID	DOR	NARRATIVE
19880036	19536	TOTAL PIPELINE CORP	Yes	19880129	700	TX	WICHITA	 	No	 	No	"7 MILES WEST, 1/2 MILE SOUTH, 1/4 MILE WEST FROM INTERSECTION OF HIGHWAYS 369 & 240 AT BURKBURNETT, TEXAS."	PUMPING STATION	PUMP	 	1987	OTHER	SPRING IN PUMP BROKE	0	0	0	0	0	0	12000	CRUDE OIL	1311110	1	602	85	No	No	1		0	THREADED	ABOVE GROUND	480	75	Yes	8	900	7	87	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Yes	ONE CALL	 	No	No	"MICHAEL J. COOPER, CORROSION ENGINEER"	4052291638	 	        		"TOTAL PIPELINE GAUGER REPORTED LEAK AT 7:00 A.M. ON 1/29/88.  LEAK RESPONSE CREW WAS IMMEDIATELY DISPATCHED TO LEAK SITE AND CLEANUP WAS INITIATED.  LEAK WAS CAUSED WHEN A 3/4"" THREADED NIPPLE BROKE OFF OF THE METERING LOOP WHEN THE POSITIVE DISPLACEMENT PUMP BROKE SPRINGS ON THE DISCHARGE SIDE CAUSING EXTREME VIBRATION.  PRESSURE AND OIL WAS PUMPED FROM THE BOOSTER PUMP UNTIL THE GAUGER SHUT IT DOWN AT 7:00 A.M. ON 1/19/88.  OVER AND SHORT CALCULATIONS DETERMINED THAT 602 BARRELS WAS LOST AND 85 BARRELS WAS RECOVERED WITH VACUUM TRUCKS.APPROXIMATELY 2 1/2 ACRES OF PASTURE LAND WAS OIL SPRAYED DURING THE LEAK.  LANDOWNERS WERE CONTACTED AND TOTAL IS MAKING FINAL CLEANUP AT THIS TIME."
19880037	22610	WILLIAMS PIPELINE CO	Yes	19880107	1045	IL	COOK	CHICAGO	No	 	No	CHICAGO TERMINAL	TANK FARM	OTHER	OIL/WATER SEPARATOR	0	OUTSIDE FORCE DAMAGE	DAMAGE BY NATURAL FORCES	0	0	0	0	0	0	3000	FUEL OIL	2911715	3	2	2	No	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	DAMAGE BY NATURAL FORCES	 	Null	NO DATA	 	Null	Null	"HOWARD JANSEN , VICE PRESIDENT-OPERATIONS"	9185883850	 	        		"AT 10:45 HOURS ON JANUARY 7, 1988, A LEAK WAS DISCOVERED IN A SMALL CREEK LOCATED ADJACENT TO OUR CHICAGO TERMINAL.  THE LEAK RESULTED FROM THE FAILURE OF AN OUTFALL SEPARATOR WHICH (UNDER STATE PERMIT) DISCHARGES RUNOFF WATER INTO THE CREEK.  DAMAGE FROM INTERNAL ICE FORMATION CAUSED THE SEPARATOR TO UPSET AND RELEASED 2 BARRELS OF PETROLEUM PRODUCT INTO THE CREEK.  BOOMS WERE PLACED IN THE CREEK TO CONTAIN THE SPILL.  MAINTENANCE PERSONNEL WERE ABLE  TO RECOVER THE ENTIRERELEASED VOLUME.  STATE EPA OFFICIALS HAVE INVRSTIGATED THE SITE AND HAVE APPROVED OF OUR CLEAN_UP EFFORTS."
19880039	19237	TEXAS EASTERN PRODUCT PIPELINE CO	Yes	19880117	1700	LA	BOSSIER	BOSSIER	No	 	No	"VICINITY MAP, TPA-V-4 ATTACHED."	TANK FARM	TANK	 	1968	FAILED WELD	 	0	0	0	0	0	0	3500	FUEL OIL	2911715	3	1150	1140	No	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	WILLIAM M. OLLER - EXECUTIVE VICE PRESIDENT	7137593605	 	        		"UPON ROUTINE CHECK OF TANKS AND FIREWALLS, OPERATOR NOTICED PRODUCT BUBBLING OUT FROM THE BOTTOM OF TANK NO. 3309.  PRODUCT WAS TRANSFERRED FROM LEAKING TANK TO ANOTHER WHILE PRODUCT INSIDE FIREWALL WAS RECOVERED.  PROBLEM WAS TRACED TO A CRACKED WELD ON THE BOTTOM OF THE TANK NEAR THE FILL NOZZLE.  WELD WAS REPAIRED AND TANK PUT BACK IN SERVICE.  ALL PRODUCT WAS CONFINED TO COMPANY PROPERTY."
19880040	26023	COASTAL STATES CRUDE GATHERING CO	No	19871223	707	TX	WHARTON	 	No	 	No	"3/4 MILE SOUTHWEST OF COASTAL'S BAY CITYSTATION.  STATION IS LOCATED 1 MILE SOUTHEAST OF MAGNET, TEXAS ONSTATE HIGHWAY 60."	LINE PIPE	PIPE	 	1965	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	15000	GASOLINE	2911135	3	220	217	No	No	12	0.2	1465	WELDED	ABOVE GROUND	1050	923	Yes	24	1315	1	65	EXTERNAL	Yes	Yes	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	RON MCGRAY - MAINTENANCE SUPERVISOR	7138776896	 	        		"ON THE MORNING OF 12-23-87, THE DISPATCHER RECEIVED AND INDICATION FROM DAMON OF A LOSS OF PRESSURE.  HE IMMEDIATELY SHUT DOWN THE LINE.  HE THEN NOTIFIED OPERATING PESONNEL AT DAMON TO INVESTIGATE LOSS OF PRESSURE.  I WAS NOTIFIED AT APPROX. 07:45 OF WHAT WAS GOING ON. I IMMEDIATELY NOTIFIED PETE TURNER OF POSSIBLE LEAK. AT ABOUT 08:15 PETE CALLED ME BACK AND SAID TO GET A HELICOPTER AND FLY THE P/L FROM DAMON TO DANNEVANG.  HELICOPTER PICKED ME UP IN ALVIN AT 11:00 AND WEFLEW TO DAMON, THEN TO BAY CITY.  ABOUT 11:45 I SPOTTED PRODUCT ON TOP OF WATERIN A CANAL APPROX.3/4 OF A MILE SOUTH OF BAY CITY STATION.  WE LANDED AT BAY CITY STATION WHERE I HAD A VEHICLE STANDING BY AND DROVE DOWN TO INVESTIGATE THE SITE.  UPON VISUAL INSPECTION I DISCOVERED THE PIPELINE CROSSING AT THE LOWER COLORADO RIVER AUTHORITY CANAL WAS IN CASING AND HAD APPARENTLY BLOWN OUT.  I NOTIFIED PETE TURNER OF LOCATING THE LEAK SITE, THEN CALLED IN MAINTENANCE PERSONNELTO START REPAIRS AND CLEAN UP.  FAILURE DETERMINED TO BE CAUSED BY LOCALIZED CORROSION ON THE OUTSIDE SURFACE OF TH PIPE IN THE AREA OF CONTACT WITH CASING SPACERS."
19880041	720	ASHLAND OIL & TRANSPORTATION CO	Yes	19880128	1500	WV	KANAWHA	ST. ALBANS	No	 	No	OPAL STREET OFF KANAWHA TERRACE.	PUMPING STATION	PUMP	 	1978	OTHER	SEAL FAILURE	0	0	0	0	0	0	1000	NATURAL GAS LIQUID	4908176	2	7	0	No	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	LOUIS B. MORGAN - ENGINEERING SUPERVISOR	5026832485	 	        		WE RECEIVED A REPORT OF A LEAK AT ST. ALBANS AT 3:00 P.M. INVESTIGATION REVEALED A LEAKING PUMP SEAL AT ST. ALBANS STATION AND A VAPOR CLOUD ALONG THE RAILROADDITCH FOR ABOUT 100 FEET.  THE STATION WAS SHUT DOWN AND ISOLATED AND THE VAPORDISSIPATED BY 3:30P.M.
19880042	15490	PHILLIPS PIPE LINE CO	Yes	19880122	1000	TX	CARSON	 	No	 	No	"GAINES-BORGER - LINE ""80"" - MP 264-20+63SECTION 66, BLK. T, ADAMS, BEATY, & MOULTON SURVEY APPROXIMATELY 1/4 MILE NORTH OF F.M. 293."	LINE PIPE	PIPE	 	1942	OUTSIDE FORCE DAMAGE	DAMAGE BY OTHERS	0	0	0	0	0	0	9050	NATURAL GAS LIQUID	4908176	2	800	0	No	No	8	0.19	40000	WELDED	BELOW GROUND	1150	345	Yes	24	1500	6	76	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OTHERS	 	Yes	ONE CALL	 	No	No	"B.L. THORMAN, MANAGER OF ENGINEERING & TECHNICAL SERVICES"	9186614721	 	        		CONSTRUCTION COMPANY LAYING CABLE PUNCTURED PIPELINE.
19880043	15674	PLANTATION PIPE LINE CO	Yes	19880211	1530	VA	HANOVER	 	No	 	No	"ON R.F.&P. RAILROAD PROPERTY APPROXIMATELY 1100 FEET SOUTH OF VIRGINIA HIGHWAY 688 AND 756 FEET SOUTH OF THE C&O RAILROAD LINE NEAR DOSWELL, VIRGINIA."	LINE PIPE	PIPE	 	1964	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	91400	GASOLINE	2911135	3	200	0	No	No	12	0.2	1655	WELDED	BELOW GROUND	1133	670	Yes	26	1309	6	64	EXTERNAL	Yes	Yes	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	"R.M.CROOK, VICE PRESIDENT-OPERATIONS"	4043645880	 	        		"AT APPROXIMATELY 3:30 P.M. EST ON FRBRUARY 11, 1988, A LEAK WAS LOCATED ON PLANTATION'S 12-INCH, .203 WALL THICKNESS, GRADE X--52, ERW PETROLEUM PRODUCTS PIPELINE WHICH OPERATES BETWEEN GREENSBORO, NC AND WASHINGTON, D.C.  THE LEAK OCCURRED ON R.F.&P. RAILROAD RIGHT OF WAY NEAR DOSWELL, VIRGINIA WHEREIN  THE PIPELINE LAYS BY PERMIT.  THE PIPELINE WAS RESTING ON TWO ROCKS WHICH HAD BROKEN THE COATING AND CREATED AN AREA OF GALVANIC CORROSION.  PRODUCT ESCAPED THROUGH A PINHOLE LOCATED IN A ONE-INCH DIAMETER CORROSION PIT LOCATED IN AN AREA OF VARIOUS SMALLER NON-LEAKING PITS AT THE SIX O'CLOCK POSITION ON THE PIPE.THERE WERE NO OPERATIONAL UPSETS AND THE PIPELINE WAS OPERATIG WITHIN DESIGN CRITERIA.  THE PIPELINE WAS REPAIRED WITH A TWO-FOOT-LONG FULL ENCIRCLEMENT SLEEVE."
19880044	12434	MID - CONTINENT PIPELINE CO	No	19880215	1700	OK	STEPHENS	VELMA	No	 	No	"1/4 MILE WEST OF TEXACO GAS PLANT, 1/4 MILE NORTH AND EAST INTO SITE."	LINE PIPE	PIPE	 	1948	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	750	CRUDE OIL	1311110	1	95	86	No	No	4	0.24	100	NO DATA	BELOW GROUND	500	80	No	0	0	0	0	EXTERNAL	No	No	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	"C.A. WILLIAMSON, GENERAL FOREMAN"	4058675810	 	        		"SOURCE OF LEAK WAS EXTERNAL CORROSION AT A JOINT WELD ON THIS 4"" GATHERING LINE. OUR GAUGER HAD ONE PUMP UNIT INJECTING INTO SYSTEM AT RATE OF 45 BBLS. PER HOUR FOR 4 1/2 HOURS UPSTREAM OF LEAK SITE ABOUT 4 MILES.  THIS PUMPED OUT AT APPROX. 2:30 P.M., ABOUT THE TIME THE TEXACO EMPLOYEE DISCOVERED THE LEAK.  OIL HAD RAN FROM LEAK SITE, IN WHEAT FIELD, INTO A SMALL DRAINAGE DITCH FOR APPROX.  100 YDS., THEN INTO SMALL RUNNING STREAM FOR 1/2 MILE, CONFINED BY A COFFER DAM.  RECOVERY AND CREEK CLEANUP IS COMPLETED."
19880045	13131	CONOCO INC	Yes	19880121	1126	MT	GLACIER	 	No	 	No	"T33N, R5W, SEC. 18, 100 YARDS SOUTHEAST OF PIPELINE AERIAL MARKER 366. SKETCH ATTACHED."	LINE PIPE	LONGITUDINAL WELD	 	1961	FAILED PIPE	 	0	0	0	0	0	0	5000	CRUDE OIL	1311110	1	494	30	No	No	8	0.22	52000	WELDED	BELOW GROUND	2050	1541	No	0	2560	12	61	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"L.G.HUBBARD, DIRECTOR, ENVIRONMENTAL AFFAIRS"	7132932032	 	        		"CONOCO PIPE LINE COMPANY'S OIL MOVEMENTS GROUP IN HOUSTON, TX, SUSPECTED A LEAKHAD OCCURRED WHEN THE CUT BANK, MT, STATION PUMPS SHUT DOWN DUE TO LOW SUCTION PRESSURE AT 11:26 A.M., FRIDAY, JANUARY 21, 1988.  THE LINE WAS IMMEDIATELY SHUTDOWN AND ALLOWED TO DRAIN INTO THE ROUNDUP,MT, STATION. WHEN THE LINE  WAS SHUT DOWN, THE CUT BANK STATION DISCHARGE PRESSURE DROPPED TO ZERO AND THE CONRAD,MT, STATION SUCTION PRESSURE DROPPED TO 161 PSIG, INDICATING THE LEAK WAS IN THE PROXIMITY OF CUT BANK.OIL MOVEMENTS IMMEDIATELY NOTIFIED COMPANY FIELD PESONNEL OF THE SUSPECTED LEAK.  THE CUT BANK STATION WAS ISOLATED AND CONTRACT PERRSONNEL WERE DISPATCHED BY HELICOPTER TO LOCATED TH LEAK.  THE LEAK WAS SPOTTED AT 12:20 P.M.  THE LANDOWNER WAS NOTIFIED OF THE LEAK AND APPROVAL WAS OBTAINED FOR SUBSEQUENT LINE REPAIRSAND CLEANUP.  APPROXIMATELY 494BBLS. OF SUNDRE LIGHT CANADIAN CRUDE WERE SPILLED AND CONTAINED WITHIN A 200-YARD SECTION OF A HARVESTED WHEAT FIELD.  APPROXIMATELY 30 BBLS. OF THE SPILLED OIL WERE RECOVERED.A 48-FOOT SECTION OF PIPE CONTAINING THE 23-INCH SEAM SPLIT WAS REMOVED AND REPLACED WITH A PRETESTED SECTION OF .250 WALL SEAMLESS Z-52 LINE PIPE.  AFTER OBTAINING APPROVAL FROM THE LANDOWNER, THE LOCAL POLICE DEPARTMENT AND THE STATE OF MONTANA, THE OIL-SOAKED AREA WAS BURNED OFF. THE LINE WAS RETURNED TO SERVICE AT10:22PM ON JANUARY 21, 1988."
19880046	13131	CONOCO INC	No	19880201	2100	OK	GRANT	 	No	 	No	"CONOCO PIPE LINE COMPANY'S 4"" PBC LINE I GRANT COUNTY, OKLAHOMA (SEE ATTACHED MAP)  T27N-R5W, SW/4 OF NE/4 OF SECTION 36."	LINE PIPE	PIPE	 	1962	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	500	NATURAL GAS LIQUID	4908176	2	35	0	No	No	4	0.13	42000	WELDED	BELOW GROUND	1150	260	Yes	8	1440	8	82	EXTERNAL	Yes	Yes	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	"L.G.HUBBARD DIRECTOR, ENVIRONMENTAL AFFAIRS"	7132932032	 	        		"LINE WAS IN NORMAL OPERATION WHEN LOSS OF PRESSURE INDICATED A LEAK.  LINE WAS SHUT IN AND REPRESSURED TO FIND EXACT LOCATION OF LEAK. AT APPROXIMATELY 2100 ON2-1-88, LEAK WAS FOUND TO BE CORROSION CAUSED AND TEMPORARY REPAIRS WERE MADE PENDING LINE REPLACEMENT OF CORRODED AREA."
19880047	4906	EXXON PIPELINE CO	No	19880209	1830	TX	HARRIS	 	No	 	No	"INCIDENT OCCURRED NEAR THE 17,500 BLOCK OF STUEBNER AIRLINE DRIVE (NORTHWEST HARRIS COUNTY) AT PIPELINE STATION NUMBER 833+07 (TOMBALL LPG JUNCTION) SOME 13 MIL"	LINE PIPE	OTHER	TEMPORARY FLARE	1988	OTHER	SUDDEN UNEXPEC. PRESSURE	0	0	0	1	1	0	50	L. P. G.	4905711	2	1	0	Yes	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"G.P. MURRAY, OPERATIONS MANAGER"	7136565956	 	        		"A FLASH FIRE OCCURRED DURING THE PROCESS OF RESTORING A SECTION OF LPG PIPELINETO SERVICE AFTER COMPLETION OF HYDROSTATIC TESTS.  AS A RESULT OF THE FLASH FIRE, WHICH LASTED ONLY A FEW SECONDS, AN EMPLOYEE WAS BURNED ON THE FACE, HANDS AND WRISTS.  BURNS ON THE FACE WERE FIRST DEGREE, WHILE BURNS ON THE EMPLOYEE'S HANDS AND WRISTS WERE FIRST AND SECOND DEGREE.SOME OF THE GRASS ON THE RIGHT-OF-WAY CAUGHT FIRE AS A RESULT OF THE FLASH FIRE.  HOWEVER, THESE VERY SMALL AREA FIRES WERE EXTINGUISHED WITHIN A FEW MINUTES. THERE WAS NO SIGNIFICANT PROPERTY DAMAGE.AS THE HYDROSTATIC TEST WATER WAS BEING DISPLACED FORM THE LINE WITH A PIG FOLLOWED BY PRODUCT(LPG), THE WATER WAS BEING ROUTED INTO A VACUUM TRUNK; AND AS LPGVAPORS ARRIVED INTERMITTENTLY, THEY WERE ROUTED TO A TEMPORARY FLARE.  AT ONE POINT, A MIXTURE OF LPG AND WATER SURGED THROUGH THE FLARE.  THIS CREATED A FIRE BAL WHICH DROPPED TO THE GROUND AND IGNITED A SMALL QUANTITY OF LPG VAPORS, WHICH HAD SETTLED UNOBSERVED IN THE AREA AND LEFT A VACUUM TRUCK. WITHIN A VERY SHORT PERIOD OF TIME, PROBABLY LESS THAN 5 SECONDS, THE FIRE REACHED THE VACUUM TRUCK VIA THE VAPOR TRAIL.  AT THAT TIME, THE EMPLOYEE, WHO HAD POSITIONED HIMSELF OVER  THE HATCH TO WATCH FOR LPG VAPORS, WAS BURNED.THE LINE, A SEGMENT OF WHCH HAD BEEN HYDROSTATICALLY TESTED TO MEET DOT 195 REQU"
19880048	3445	DIXIE PIPELINE	No	19880215	809	AL	AUTAUGA	 	No	 	No	"PRATTVILLE PUMP STATION, NW/4 SECTION 1, 518N, R15E. AUTAUGA COUNTY, ALABAMA."	PUMPING STATION	NO DATA	 	1972	OTHER	SEAL FAILURE	0	0	0	0	0	0	0	L. P. G.	4905711	2	20	0	No	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	C.A. HILLEASTERN DISTRICT MANAGER	4042962994	 	        		"AT 0809 ON FEBRUARY 15, 1988 THE #2 UNIT AT PRATTVILLE STATION SHUT DOWN ON SEAL FAILURE.  AT 0825 THE DISPATCH CENTER WAS NOTIFIED BY TELEPHONE FROM A LOCAL RESIDENT THAT IT APPEARED PROPANE VAPOR WAS LEAKING FROM THE STATION AND APPROACHING THE HIGHWAY.  AT 0826 THE STATION SUCTION VALVE WAS CLOSED AND THE PIPE LINESHUT DOWN. AT 0929 THE SHERIFF WAS NOTIFIED AND THE SHERIFF ADVISED THE HIGHWAYWOULD BE BLOCKED BY 08:30.  AT 10:33 A DIXIE SUPERVISOR ARRIVED.  NO GAS WAS LEAKING WHEN HE ARRIVED.   THE SHERIFF AND THE FIRE TRUCKS THE SHERIFF HAD DISPATCHED WERE RELEASED.THE SEAL IN THE NUMBER 2 UNIT BLEW OUT RESULTING IN THE DISCHARGE OF THE GAS INTH PUMP AND ASSOCIATED LINE.  THE DISCHARGE CHECK VALVE MAY NOT HAVE SEALED 100% ALLOWING ADDITIONAL GAS THAN NORMAL TO BE DISCHARGE.  THE CHECK VALVE WAS REPLACED AS A PRECAUTION."
19880049	19237	TEXAS EASTERN PRODUCT PIPELINE CO	Yes	19880129	45	IL	WILL	MONEE	No	 	No	VICINITY MAP TPA-V-76 ATTACHED.	PUMPING STATION	OTHER	FLOW SWITCH-LINE PRESSURE	1971	OTHER	FLOW SWITCH FAILED	0	0	0	2	2	0	160000	NATURAL GAS LIQUID	4908176			0	Yes	Yes	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	WILLIAM M. OLLEREXECUTIVE VICE PRESIDENT	7137593605	 	        		"APPARRENTLY A FLOW SWITCH'S METAL BELLOWS CRACKED, PERMITTING NORMAL BURANE TO PRESSURIZE AN ELECTRICAL CONDUIT. THE BUTANE PENETRATED TWO ELECTRICAL CONDUIT SEALS AND MIGRATED INTO THE PUMP STATION CONTROL ROOM AT APPROXIMATELY 0045 HRS. ON JANUARY 29, 1988.  THE BUTANE WAS ACCIDENTLY IGNITED IN THE CONTROL ROOM, NEAR THE CONTROL PANEL AREA, CAUSING AN EXPLOSION AND FIRE IN THE PROXIMITY OF THE STATION CONTROL PANEL.  MOST OF THE CONTROL PANEL INSTRUMENTATION, AS WELL AS THE S.C.A.D.A. TERMINALS, COMPUTER TERMINAL AND COMMUNICATIONS EQUIPMENT WERE HEAVILY DAMAGED EITHER BY THE FIRE OR FIRE DEPARTMENT EFFORTS.  MOST OF THE CONTROL CABLE AND POWER WIRING WAS ALSO HEAVILY DAMAGED.OF THE TWO OPERATORS BURNED IN THE FLASH FIRE, MR. GRIFFING SPENT THREE DAYS INI.C.U., HAD SKIN GRAFT SURGERY, AND WAS RELEASED FROM THE HOSPITAL ON FEBRUARY 12, 1988.  MR. HALL SPENT FIVE DAYS IN I.C.U., HAD SKIN GRAFT SUREGERY AND WAS RELEASED FROM THE HOSPITAL ON FEBRUARY 19, 1988."
19880050	22610	WILLIAMS PIPELINE CO	Yes	19880127	1500	KS	KANSAS	 	No	 	No	FAIRFAX WEST TERMINAL.	TANK FARM	VALVE	 	0	OTHER	WATER FROZE & CR. HOUSE	0	0	0	0	0	0	1000	CONDENSATE - WATER	2911976	3	1045	985	No	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"H.E.JANZEN, VICE PRESIDENT - OPERATIONS"	9185884850	 	        		"AT 1500 HOURS ON JANUARY 27, 1988, A SPILL WAS DISCOVERED NEAR THE FILTER PRESSOPERATIONS LOCATED AT OUR FAIRFAX WEST TERMINAL IN KANSAS CITY.  THE RELEASE ORIGINATED FROM A 3"" TANK LINE VALVE FOR TANK #546.  TANK BOTTOM SLUDGE WAS BEING STORED IN TANK #546 IN PREPARATION FOR PROCESSING THROUGH OUR FILTER PRESS.  WATER APPARENTLY COLLECTED AND FROZE IN THE BOTTOM OF TH VALVE CAUSING THE VALVE BODY TO CRACK.  1045 BARRELS OF TANK BOTTOM SLUDGE AND WATER WAS RELEASED WITH 985BARRELS RECOVERED.  CLEAN UP MEASURES ARE BEING CORRDINATED WITH APPROPRIATE GOVERNMENT OFFICIALS."
19880051	5522	FOUR CORNERS PIPELINE CO	Yes	19880123	915	CA	LOS ANGELES	LONG BEACH	No	 	No	"9TH AND CANAL AT RAIL ROAD RIGHT-OF-WAY, LONG BEACH."	LINE PIPE	OTHER	INSULATING KIT FLANGES	1988	OTHER	DAMAGE BY OPERATOR OR ITS CONTRACTOR	0	0	0	0	0	0	17000	FUEL OIL	2911715	3	150	130	No	No	12	0.31	42000	WELDED	BELOW GROUND	720	200	No	8	911	9	82	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OPERATOR OR ITS CONTRACTOR	 	Null	NO DATA	 	Null	Null	"R.B. KUPREWICZ, VICE PRESIDENT - OPERATIONS"	2134289017	 	        		LEAK WAS FROM A SET OF VALVE FLANGES THAT WERE NOT PROPERLY TIGHTENED.THIS IS A NEW CONNECTION INSTALLED BY GOLDEN WEST TO FCPL'S LINE 79.AH&S CONTRACTORS DID THE CONNECTION WORK.
19880053	2731	CHEVRON PIPELINE CO	Yes	19880219	1700	TX	REEVES	 	No	 	No	"BLOCK 56, TWP. 2, SECTION 36, T&P RAIL ROAD COMPANY SURVEY."	PUMPING STATION	PUMP	 	1964	OTHER	VIBRA.ON PUMP BROKE LINE	0	0	0	0	0	0	1740	CRUDE OIL	1311110	1	190	170	No	No	0		0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Yes	OTHER	VIBRA. CHECK PERIOD	Null	Null	"R.C. KINNEAR, DIVISION MANAGER"	9156877551	 	        		"1/2"" COOLING LINE ON #1 PUMP BROKE FROM VIBRATION."
19880054	12434	MID - CONTINENT PIPELINE CO	No	19880301	1030	OK	STEPHENS	 	No	 	No	"ONE MILE WEST OF COUNTY LINE, 2 MILES NORTH , 1 1/2 MILES WEST, 1/2 MILE NORTH."	LINE PIPE	PIPE	 	1948	OUTSIDE FORCE DAMAGE	DAMAGE BY OTHERS	0	0	0	0	0	0	500	CRUDE OIL	1311110	1	384	226	No	No	6	0.25	2640	WELDED	BELOW GROUND	960	85	Yes	24	1200	5	81	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OTHERS	 	Yes	ONE CALL	 	No	No	"HERBERT MCCONNELL, MAINTENANCE FOREMAN"	4058674822	 	        		"MOBIL OIL COMPANY'S ELECTRICIAN WAS DIGGING AN ANCHOR FOR A DEADMAN WHEN THEY HIT MID-CONTINENT PIPELINE'S 6"" MAIN LINE FROM VELMA, OK TO EOLA STATION. MOBIL DID NOT ""CALL OKIE"" NOR WAS MID-CONTINENT NOTIFIED.  MID-CONTINENT PIPE LINE MARKERS WERE ON A LEASE ROAD APPROXIMATELY TWENTY(20) YARDS FROM LINE DAMAGE."
19880055	4906	EXXON PIPELINE CO	Yes	19880217	1530	TX	SAN PATRICIO	 	No	 	No	"LEAK OCCURRED AT STATION 36+21, SOME 131 FEET OUTSIDE WEST PROERTY FENCE LINE OF EXXON PIPELINE COMPNA'S INGLESIDE STATIO ALONG THE INGLESIDE TO VANDERBILT 16"""	LINE PIPE	PIPE	 	1966	FAILED PIPE	 	0	0	0	0	0	0	18000	CRUDE OIL	1311110	1	1300	1295	No	No	16	0.22	56000	WELDED	BELOW GROUND	1104	1020	Yes	24	1380	12	66	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"G.P. MURRAY, OPERATIONS MANAGER"	7136565956	 	        		"AT APPROXIMATELY 3:30 P.M. ON FEB. 17, 1988, EXXON PIPELINE COMPANY'S (EPC) OILTRAFFIC CONTROL CENTER (OTCC) CONTROLLER NOTIFIED THE STATION OPERATOR AT EPC'SINGLESIDE STATION.  OTCC HAD NOTICED A SUDDEN RATE OF CHANGE IN FLOW RATE.  THESTATION OPERATOR VERIFIED OTCC'S REMOTE READINGS OF FLOW AND ALSO PRESSURE.  THE STATION OPERATOR THEN INSTRUCTED OTCC TO SHUT THE LINE DOWN. THE LINE WAS SHUTDOWN AT 3:35 P.M.THE LINE FLYER WAS CONTACTED AND AERIAL SURVEILLANCE WAS MADE AT 5:40 P.M. TO IDENTIFY LEAK LOCATION.  AT THIS TIME, TOTAL BARRELS OF CRUDE OIL RELEASED WERE ESTIMATED TO BE 75 BBLS. (ACTUAL AMOUNT WAS 150 BBLS).EPC PERSONNEL AND CONTRACT EQUIPMENT (INCLUDING VACUUM TRUCKS) WERE DISPATCHED TO THE SITE AT 5:45 P.M.  THE LINE WAS DRAINED (1150 BBLS) AND PERMANENT REPAIRSWERE MADE BY INSTALLING A NEW 5-1/2' SECTION OF PIPE.THE LINE WAS RESTORED TO SERVICE AT 7:00 A.M. ON FRB. 19, 1988.  CLEAN-UP OPERATIONS ARE CURRENTLY IN PROGRESS."
